Cidade,Faixa_Etaria,Genero,KPI_Volume_Demanda,KPI_Taxa_Conversao,KPI_Score_Propensao
ADAMANTINA,101-120 ANOS,MASCULINO,0.0,0.0,0.0
ADAMANTINA,18-21 ANOS,FEMININO,342.0,0.7991,0.8174
ADAMANTINA,18-21 ANOS,MASCULINO,443.0,0.8896,0.873
ADAMANTINA,22-25 ANOS,FEMININO,288.0,0.4932,0.5224
ADAMANTINA,22-25 ANOS,MASCULINO,318.0,0.5222,0.5073
ADAMANTINA,26-30 ANOS,FEMININO,150.0,0.1597,0.1756
ADAMANTINA,26-30 ANOS,MASCULINO,133.0,0.1478,0.1483
ADAMANTINA,31-40 ANOS,FEMININO,129.0,0.0585,0.0551
ADAMANTINA,31-40 ANOS,MASCULINO,112.0,0.0596,0.0633
ADAMANTINA,41-50 ANOS,FEMININO,74.0,0.0372,0.0438
ADAMANTINA,41-50 ANOS,MASCULINO,58.0,0.0368,0.0544
ADAMANTINA,51-60 ANOS,FEMININO,68.0,0.0423,0.04
ADAMANTINA,51-60 ANOS,MASCULINO,24.0,0.0211,0.0341
ADAMANTINA,61-70 ANOS,FEMININO,26.0,0.0216,0.0204
ADAMANTINA,61-70 ANOS,MASCULINO,14.0,0.0133,0.0159
ADAMANTINA,71-80 ANOS,FEMININO,2.0,0.0034,0.0026
ADAMANTINA,71-80 ANOS,MASCULINO,7.0,0.0085,0.0119
ADAMANTINA,81-90 ANOS,FEMININO,1.0,0.0049,0.0035
ADAMANTINA,81-90 ANOS,MASCULINO,2.0,0.0052,0.004
ADAMANTINA,91-100 ANOS,FEMININO,0.0,0.0,0.0014
ADAMANTINA,91-100 ANOS,MASCULINO,1.0,0.0087,0.0057
ADOLFO,101-120 ANOS,MASCULINO,0.0,0.0,0.0
ADOLFO,18-21 ANOS,FEMININO,27.0,0.931,0.8903
ADOLFO,18-21 ANOS,MASCULINO,41.0,0.9762,0.9326
ADOLFO,22-25 ANOS,FEMININO,30.0,0.7143,0.6025
ADOLFO,22-25 ANOS,MASCULINO,31.0,0.4769,0.5219
ADOLFO,26-30 ANOS,FEMININO,16.0,0.25,0.2119
ADOLFO,26-30 ANOS,MASCULINO,14.0,0.1386,0.1566
ADOLFO,31-40 ANOS,FEMININO,9.0,0.052,0.0528
ADOLFO,31-40 ANOS,MASCULINO,12.0,0.0745,0.0689
ADOLFO,41-50 ANOS,FEMININO,10.0,0.0667,0.055
